Starting worker at 127.0.0.1:2030
starting 4 threads...
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
 training_images=50000 training_labels=50000 test_images=10000 test_labels=10000
thread 140427476854528, recv size 3552, fitness 0.16 (0.155)
thread 140427460069120, recv size 3552, fitness 0.16 (0.147)
thread 140427468461824, send size 3552, fitness 0.16 (0.166)
thread 140427485247232, recv size 3552, fitness 0.166 (0.158)
thread 140427476854528, recv size 3552, fitness 0.166 (0.155)
thread 140427460069120, recv size 3552, fitness 0.166 (0.152)
thread 140427468461824, recv size 3552, fitness 0.166 (0.155)
thread 140427476854528, recv size 3552, fitness 0.166 (0.159)
thread 140427460069120, recv size 3552, fitness 0.166 (0.152)
thread 140427485247232, send size 3552, fitness 0.166 (0.168)
thread 140427468461824, recv size 3552, fitness 0.168 (0.162)
thread 140427476854528, recv size 3552, fitness 0.168 (0.159)
thread 140427460069120, recv size 3552, fitness 0.168 (0.158)
thread 140427485247232, send size 3552, fitness 0.168 (0.173)
thread 140427468461824, recv size 3552, fitness 0.173 (0.153)
thread 140427476854528, recv size 3552, fitness 0.173 (0.159)
thread 140427460069120, recv size 3552, fitness 0.173 (0.153)
thread 140427485247232, recv size 3552, fitness 0.173 (0.169)
thread 140427476854528, send size 3552, fitness 0.173 (0.174)
thread 140427468461824, recv size 3552, fitness 0.174 (0.165)
thread 140427460069120, recv size 3552, fitness 0.174 (0.164)
thread 140427485247232, recv size 3552, fitness 0.174 (0.168)
thread 140427468461824, recv size 3552, fitness 0.174 (0.168)
thread 140427476854528, recv size 3552, fitness 0.174 (0.172)
thread 140427460069120, send size 3552, fitness 0.174 (0.175)
thread 140427468461824, recv size 3552, fitness 0.175 (0.164)
thread 140427485247232, recv size 3552, fitness 0.175 (0.165)
thread 140427476854528, recv size 3552, fitness 0.175 (0.169)
thread 140427460069120, recv size 3552, fitness 0.175 (0.17)
thread 140427468461824, recv size 3552, fitness 0.175 (0.168)
thread 140427485247232, recv size 3552, fitness 0.175 (0.171)
thread 140427476854528, recv size 3552, fitness 0.175 (0.162)
thread 140427460069120, send size 3552, fitness 0.175 (0.179)
thread 140427468461824, recv size 3552, fitness 0.179 (0.169)
thread 140427485247232, recv size 3552, fitness 0.179 (0.172)
thread 140427476854528, recv size 3552, fitness 0.179 (0.168)
thread 140427460069120, recv size 3552, fitness 0.179 (0.178)
thread 140427485247232, recv size 3552, fitness 0.179 (0.178)
thread 140427468461824, recv size 3552, fitness 0.179 (0.165)
thread 140427476854528, send size 3552, fitness 0.179 (0.183)
thread 140427485247232, recv size 3552, fitness 0.183 (0.171)
thread 140427468461824, recv size 3552, fitness 0.183 (0.171)
thread 140427460069120, recv size 3552, fitness 0.183 (0.176)
thread 140427476854528, recv size 3552, fitness 0.183 (0.171)
thread 140427485247232, recv size 3552, fitness 0.183 (0.169)
thread 140427468461824, recv size 3552, fitness 0.183 (0.169)
thread 140427460069120, recv size 3552, fitness 0.183 (0.168)
thread 140427476854528, recv size 3552, fitness 0.183 (0.17)
thread 140427485247232, recv size 3552, fitness 0.183 (0.179)
thread 140427468461824, recv size 3552, fitness 0.183 (0.166)
thread 140427460069120, recv size 3552, fitness 0.183 (0.164)
thread 140427476854528, recv size 3552, fitness 0.183 (0.163)
thread 140427485247232, send size 3552, fitness 0.183 (0.196)
thread 140427468461824, recv size 3552, fitness 0.196 (0.172)
thread 140427460069120, recv size 3552, fitness 0.196 (0.176)
thread 140427476854528, recv size 3552, fitness 0.196 (0.162)
thread 140427485247232, recv size 3552, fitness 0.196 (0.193)
thread 140427460069120, recv size 3552, fitness 0.196 (0.176)
thread 140427468461824, recv size 3552, fitness 0.196 (0.184)
thread 140427476854528, recv size 3552, fitness 0.196 (0.191)
thread 140427485247232, send size 3552, fitness 0.196 (0.201)
thread 140427460069120, recv size 3552, fitness 0.201 (0.185)
thread 140427476854528, recv size 3552, fitness 0.201 (0.185)
thread 140427468461824, recv size 3552, fitness 0.201 (0.187)
thread 140427485247232, recv size 3552, fitness 0.201 (0.189)
thread 140427460069120, recv size 3552, fitness 0.201 (0.187)
thread 140427476854528, recv size 3552, fitness 0.201 (0.194)
thread 140427468461824, recv size 3552, fitness 0.201 (0.194)
thread 140427485247232, recv size 3552, fitness 0.201 (0.198)
thread 140427460069120, recv size 3552, fitness 0.201 (0.192)
thread 140427468461824, recv size 3552, fitness 0.201 (0.194)
thread 140427476854528, recv size 3552, fitness 0.201 (0.193)
thread 140427485247232, recv size 3552, fitness 0.201 (0.19)
thread 140427460069120, recv size 3552, fitness 0.201 (0.193)
thread 140427468461824, recv size 3552, fitness 0.201 (0.189)
thread 140427476854528, recv size 3552, fitness 0.201 (0.196)
thread 140427485247232, recv size 3552, fitness 0.201 (0.197)
thread 140427460069120, recv size 3552, fitness 0.201 (0.198)
thread 140427476854528, recv size 3552, fitness 0.201 (0.199)
thread 140427468461824, recv size 3552, fitness 0.201 (0.195)
thread 140427485247232, recv size 3552, fitness 0.201 (0.196)
thread 140427460069120, recv size 3552, fitness 0.201 (0.186)
thread 140427476854528, recv size 3552, fitness 0.201 (0.197)
thread 140427468461824, recv size 3552, fitness 0.201 (0.196)
thread 140427485247232, recv size 3552, fitness 0.201 (0.198)
thread 140427460069120, send size 3552, fitness 0.201 (0.204)
thread 140427476854528, recv size 3552, fitness 0.204 (0.191)
thread 140427468461824, recv size 3552, fitness 0.204 (0.196)
thread 140427485247232, recv size 3552, fitness 0.204 (0.184)
thread 140427460069120, recv size 3552, fitness 0.204 (0.184)
thread 140427476854528, recv size 3552, fitness 0.204 (0.186)
thread 140427468461824, recv size 3552, fitness 0.204 (0.19)
thread 140427485247232, recv size 3552, fitness 0.204 (0.196)
thread 140427460069120, recv size 3552, fitness 0.204 (0.184)
thread 140427476854528, recv size 3552, fitness 0.204 (0.199)
thread 140427468461824, recv size 3552, fitness 0.204 (0.194)
thread 140427485247232, recv size 3552, fitness 0.204 (0.193)
thread 140427460069120, recv size 3552, fitness 0.204 (0.187)
thread 140427476854528, recv size 3552, fitness 0.204 (0.19)
thread 140427468461824, recv size 3552, fitness 0.204 (0.199)
thread 140427485247232, recv size 3552, fitness 0.204 (0.196)
thread 140427476854528, recv size 3552, fitness 0.204 (0.19)
